2025-12-01 03:45:53 - ml_service_grpc - INFO - [service.py:28] - gRPC MLServiceServicer инициализирован
2025-12-01 03:45:53 - ml_service_grpc - INFO - [service.py:362] - gRPC Server started on port 50051
2025-12-01 03:46:05 - ml_service_grpc - INFO - [service.py:32] - gRPC HealthCheck called
2025-12-01 03:46:05 - ml_service_grpc - INFO - [service.py:42] - gRPC GetAvailableModels called
2025-12-01 03:46:05 - ml_service_grpc - INFO - [service.py:84] - gRPC TrainModel called: logistic_regression
2025-12-01 03:46:05 - ml_service_grpc - INFO - [service.py:113] - Model trained successfully: d518effa
2025-12-01 03:46:05 - ml_service_grpc - INFO - [service.py:136] - gRPC ListModels called
2025-12-01 03:46:05 - ml_service_grpc - INFO - [service.py:156] - Returning 1 models
2025-12-01 03:46:05 - ml_service_grpc - INFO - [service.py:206] - gRPC Predict called: d518effa
2025-12-01 03:46:05 - ml_service_grpc - INFO - [service.py:220] - Prediction successful for model: d518effa
2025-12-01 03:46:05 - ml_service_grpc - INFO - [service.py:321] - gRPC ListDatasets called
2025-12-01 03:46:10 - ml_service_grpc - INFO - [service.py:367] - gRPC Server stopped
2025-12-01 03:46:32 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 03:48:39 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 04:06:34 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 04:30:17 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 05:19:15 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 05:22:43 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 05:25:08 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 05:25:48 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 02:37:04 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 02:41:37 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 02:41:55 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 05:42:21 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 05:43:20 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 02:43:55 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 02:46:37 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 02:48:08 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 02:58:02 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 02:58:35 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 03:00:20 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 03:02:51 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 03:03:00 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 03:04:16 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 03:58:54 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 04:09:55 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 04:10:18 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 04:22:41 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 04:25:45 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 04:26:31 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 04:26:55 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 04:28:00 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 04:29:43 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 04:32:03 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 04:35:46 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 04:39:14 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 04:48:48 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 04:53:29 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 04:54:31 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 05:17:11 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 05:28:03 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 08:33:49 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 08:36:24 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 08:36:50 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 05:44:42 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 05:51:27 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 05:52:11 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 05:52:26 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 05:53:41 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 05:56:14 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 05:58:03 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 06:15:43 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 06:30:15 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 06:32:49 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2025-12-01 06:33:57 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2025-12-01 06:37:31 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-09 14:21:32 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-09 19:00:47 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-09 19:12:31 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-09 19:12:48 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-09 19:21:22 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-09 19:24:25 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-09 19:29:04 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-09 19:29:15 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-09 20:30:37 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-09 20:31:13 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-09 20:42:30 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-09 20:42:39 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-09 21:12:03 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-09 21:12:13 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-11 22:32:20 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-11 22:46:39 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-11 22:46:48 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-11 22:51:45 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-11 23:02:30 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-11 23:02:38 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-11 23:05:07 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-11 23:05:59 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-11 23:10:47 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 11:41:35 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 12:04:37 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 12:05:19 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 12:06:46 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 12:07:04 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 12:07:06 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 12:07:10 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 12:13:34 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 12:13:41 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 12:27:22 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 12:27:27 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 12:31:04 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 12:31:07 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 12:38:42 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 12:38:47 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 12:44:15 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 12:44:20 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 13:00:01 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 13:00:06 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 13:16:44 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 13:16:48 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 14:38:55 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 14:38:59 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 14:48:19 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 14:48:21 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 14:54:11 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 14:54:13 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 15:03:21 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 15:03:24 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 15:11:25 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 15:11:28 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 15:19:04 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 15:19:07 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-19 15:24:20 - ml_service - INFO - [main.py:22] - ML Service API shutting down...
2026-03-19 15:24:22 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-20 15:13:24 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-20 15:26:03 - ml_service - INFO - [main.py:16] - ML Service API starting up...
2026-03-20 15:26:49 - ml_service - INFO - [main.py:19] - ML Service API shutting down...
